source,target,weight
!!epangg💥,"""tamalk1nt1l""",0.6614
!!epangg💥,1234lvinnn,0.7441
!!epangg💥,42,0.7219
!!epangg💥,4hs3n,0.6816
!!epangg💥,@indah e noe🌻,0.7113
!!epangg💥,@l,0.7396
!!epangg💥,abay,0.6837
!!epangg💥,afta,0.7852
!!epangg💥,agsdwh,0.7486
!!epangg💥,agungsaja v2,0.7527
!!epangg💥,aku siapa????,0.68
!!epangg💥,aldo.,0.6532
!!epangg💥,alexxxx,0.7069
!!epangg💥,alfisaktiawan,0.7006
!!epangg💥,alfri_❄❄❄,0.6811
!!epangg💥,amriajahh,0.6907
!!epangg💥,anggitaaaaaa❤️‍🔥,0.8177
!!epangg💥,anisatul,0.7592
!!epangg💥,anjanikusuma,0.7105
!!epangg💥,aqila misha,0.7184
!!epangg💥,arkhnraalfano,0.7123
!!epangg💥,artati,0.7588
!!epangg💥,balex ☘️,0.707
!!epangg💥,bilyy⁰²,0.7013
!!epangg💥,bluestar,0.6907
!!epangg💥,bowoo,0.7785
!!epangg💥,b🕸️,0.8981
!!epangg💥,caaa,0.6856
!!epangg💥,chell28,0.7242
!!epangg💥,chelll,0.6573
!!epangg💥,danzzz,0.6831
!!epangg💥,de2x.alk1,0.6738
!!epangg💥,diditarifin,0.679
!!epangg💥,dilzz v2,0.6602
!!epangg💥,dly,0.6679
!!epangg💥,donz2nd,0.7015
!!epangg💥,edhy soekamto,0.6671
!!epangg💥,f,0.7816
!!epangg💥,fafang🕷️,0.7899
!!epangg💥,fakri,0.6904
!!epangg💥,frzardtyaalvro,0.6892
!!epangg💥,f⚡,0.7155
!!epangg💥,grandberkahdoaibu,0.6812
!!epangg💥,hyan,0.7789
!!epangg💥,hαηs кαккσɪɪ.dnd.,0.8203
!!epangg💥,i,0.7475
!!epangg💥,i j a l,0.7351
!!epangg💥,ibunya ragaf,0.7162
!!epangg💥,ifaashion.id,0.7266
!!epangg💥,ig | im_alzz,0.6859
!!epangg💥,ig: ?,0.6967
!!epangg💥,inyong,0.6967
!!epangg💥,jesiccaaa,0.6895
!!epangg💥,joviinantaaaa,0.7739
!!epangg💥,jun santuy,0.6824
!!epangg💥,"kaa,a",0.781
!!epangg💥,kaji,0.6924
!!epangg💥,kang bahar,0.7127
!!epangg💥,keee keee,0.7734
!!epangg💥,kelzy24,0.6681
!!epangg💥,kiking,0.6649
!!epangg💥,kruxill🎃,0.6681
!!epangg💥,l3o m,0.7074
!!epangg💥,l4ngz_strong,0.7348
!!epangg💥,lah iya,0.7509
!!epangg💥,lele_byakar@gmail.comm,0.7055
!!epangg💥,m. rizqi_,0.7188
!!epangg💥,martati,0.7213
!!epangg💥,masjack3195,0.7723
!!epangg💥,mawar hitam 🌹🗡️,0.6907
!!epangg💥,mawarr,0.7972
!!epangg💥,mbahnya nafisha dan sava,0.654
!!epangg💥,mengomentari postingan anda,0.6593
!!epangg💥,muhamad rian,0.6748
!!epangg💥,mykids,0.7027
!!epangg💥,ndre4you,0.7468
!!epangg💥,nggaaa,0.6698
!!epangg💥,nobody,0.6711
!!epangg💥,ol²²oy,0.6802
!!epangg💥,pak haji,0.6854
!!epangg💥,pak haji sara,0.683
!!epangg💥,patirrrv2🖤,0.7564
!!epangg💥,patrick bateman,0.6963
!!epangg💥,pecey yeye,0.7348
!!epangg💥,pip2nd🧿,0.6671
!!epangg💥,praditailhm_,0.6851
!!epangg💥,princess 💅,0.905
!!epangg💥,r4ndsyh,0.669
!!epangg💥,rahmat kartolo,0.6653
