username,tier,final_score,gnn_proba,sna_score,pagerank,betweenness_cent,eigenvector_cent,closeness_cent,degree,degree_cent,Jumlah_Komentar,Total_Like,community,label_final,n_criteria
satria 🙌,Tier 1 - Top Influencer,0.8630901692046273,0.99240863,0.6691123837564262,0.002815754799587714,0.003275190432474009,0.10149855843728049,0.4422891619349747,303,0.30792682926829273,1,0,2,1,6
tofik.putra17,Tier 1 - Top Influencer,0.8490947919596012,0.9913059,0.63577811854799,0.0026460554973909223,0.0034964312003242103,0.09765225572854004,0.4412494600968577,287,0.2916666666666667,1,0,2,1,6
🕊,Tier 1 - Top Influencer,0.8460432404991913,0.9905315,0.6293107854120253,0.002633722724037441,0.0014080837654765154,0.1015400914980508,0.4375466674247162,286,0.2906504065040651,1,3,2,1,5
javrr⚡,Tier 1 - Top Influencer,0.8455114945202489,0.9920236,0.6257432660533535,0.002626470594053659,0.0012922942047324847,0.10073988279017024,0.4313132360413678,285,0.28963414634146345,1,0,2,1,5
𝙡𝙚𝙣𝙜,Tier 1 - Top Influencer,0.8335564029825347,0.9904186,0.5982629688115463,0.0025042486728207303,0.0009924819492345483,0.09383142012038138,0.4375466674247162,270,0.27439024390243905,2,0,2,1,5
donz2nd,Tier 1 - Top Influencer,0.8304971856815621,0.99316216,0.5864996718722095,0.002439036270593128,0.0013171062534633484,0.09473912510136046,0.4345081489009335,272,0.2764227642276423,1,0,2,1,5
rℹ️k🅾️🅾️🅾️,Tier 1 - Top Influencer,0.8299444175761557,0.99020785,0.5895492079361321,0.0024542832346191672,0.0035295139319653623,0.09134480755532792,0.43270521052375116,262,0.26626016260162605,1,0,0,1,6
lele_byakar@gmail.comm,Tier 1 - Top Influencer,0.8267498464754642,0.9903508,0.581348352474824,0.002448563609058731,0.00220827233704687,0.09093739271735478,0.4351124717784035,264,0.2682926829268293,1,0,0,1,6
nobody,Tier 1 - Top Influencer,0.8257621348482971,0.99408937,0.5732711704032135,0.0024184963316277383,0.002117294825033703,0.08832583988968683,0.4345081489009335,266,0.2703252032520326,1,0,0,1,6
𝕳𝕬𝕴𝕶𝕬𝕷 𝖁1,Tier 1 - Top Influencer,0.820750920177943,0.9931712,0.5621204480564757,0.002338865755904753,0.004265604710980985,0.08334403836994371,0.4309171724637357,256,0.2601626016260163,1,0,0,1,6
lah iya,Tier 1 - Top Influencer,0.8182843849480503,0.9922638,0.5573151820451898,0.002477529853091762,0.00499342480708632,0.07281160252128815,0.43939026293352823,248,0.2520325203252033,1,0,0,1,6
zaka.ya,Tier 1 - Top Influencer,0.8166965713034198,0.9922545,0.5533596550251356,0.0022905048470884854,0.0017554524477086072,0.0893850157115157,0.4260270547553411,255,0.25914634146341464,1,1,0,1,5
@l,Tier 1 - Top Influencer,0.8157285144500768,0.9911878,0.5525394505691618,0.002283466941666697,0.0018939863864559296,0.08996461584123956,0.42219415277823497,251,0.25508130081300817,1,0,2,1,5
viann,Tier 1 - Top Influencer,0.8151493997795191,0.99046785,0.5521717000560975,0.002294576162455039,0.0011310158879818705,0.09141221595857521,0.4214358336892754,251,0.25508130081300817,1,1,2,1,5
yyy,Tier 1 - Top Influencer,0.8145023493930887,0.99204004,0.5481958163194832,0.0021440620457739527,0.007894366837869803,0.07779377631788692,0.4299301885597876,233,0.2367886178861789,2,0,0,1,6
pisangambon,Tier 1 - Top Influencer,0.8123732870142627,0.9874177,0.5498066706759155,0.0023384611919644188,0.006496621426031147,0.07349303278947394,0.4361234208299332,244,0.24796747967479676,1,1,2,1,6
27,Tier 1 - Top Influencer,0.8120254361533367,0.99050736,0.54430248436909,0.002264411399525913,0.001275752838911909,0.08946713311837126,0.4206802338081651,248,0.2520325203252033,1,0,2,1,5
secccfldsuuu21,Tier 1 - Top Influencer,0.8097267532139216,0.99318874,0.534533655591109,0.0022432870102126207,0.004085717357682223,0.0786122615672811,0.4299301885597876,243,0.24695121951219515,1,0,0,1,6
198,Tier 1 - Top Influencer,0.8085850729884348,0.9889237,0.5380769705627467,0.0022652298634640677,0.001091730144158003,0.08730982563478921,0.41127852831990197,246,0.25,1,0,2,1,5
˚ ༘ 🦕𖦹⋆｡˚,Tier 1 - Top Influencer,0.8080896408471944,0.99037594,0.5346601384663288,0.002195519047160899,0.0017016930087917358,0.08800205995507471,0.41731329552068314,245,0.2489837398373984,1,1,2,1,5
cingire dava,Tier 1 - Top Influencer,0.8059310412768801,0.98928225,0.5309041083763737,0.002138502613638885,0.00385207056546659,0.0806070515261446,0.43171002834683364,236,0.23983739837398377,2,1,2,1,6
alfri_❄❄❄,Tier 1 - Top Influencer,0.8059277469899859,0.9944537,0.5231387751764571,0.0021886268721939177,0.0030725587011719555,0.08047881972656692,0.4269961790837199,237,0.24085365853658539,1,0,0,1,6
ws🪩,Tier 1 - Top Influencer,0.8037150808332814,0.9895203,0.5250071754451723,0.0021925781888704607,0.0008684217055802296,0.08289293265565999,0.42796972258368277,238,0.24186991869918703,2,0,2,1,5
ibunya ragaf,Tier 1 - Top Influencer,0.8035173272900888,0.9931172,0.5191173791421227,0.0022285875460513645,0.0009800759248691164,0.08162187601338791,0.4231458979377891,240,0.24390243902439027,1,0,0,1,5
zazamm,Tier 1 - Top Influencer,0.8031555964275146,0.988951,0.5244624499787748,0.0021866730293014064,0.003461280797955487,0.08060871057153972,0.4246776477945775,235,0.23882113821138215,1,0,0,1,6
qila012,Tier 1 - Top Influencer,0.8019687247390521,0.9898835,0.5200964987563523,0.0021583107129958656,0.0008229329495736462,0.08686089881296469,0.41454841061219805,239,0.24288617886178865,1,0,2,1,5
amriajahh,Tier 1 - Top Influencer,0.8005398306393382,0.9925102,0.5125842474758022,0.0022252172877043337,0.0006364979723042396,0.08153095987314275,0.42011530959087573,232,0.23577235772357727,1,0,0,1,5
praditailhm_,Tier 1 - Top Influencer,0.800219280600339,0.99039733,0.5149522003526237,0.002115163690470972,0.0010813917905201432,0.08720671666873134,0.41127852831990197,234,0.2378048780487805,1,0,2,1,5
mawar hitam 🌹🗡️,Tier 1 - Top Influencer,0.7998920540086232,0.99250907,0.5109664450267459,0.002225217227169744,0.0003604639301733811,0.08153095663600744,0.42011530959087573,232,0.23577235772357727,1,0,0,1,5
bluestar,Tier 1 - Top Influencer,0.7997440310831918,0.9925088,0.5105968347480034,0.0022252172071899907,0.00029739997298243583,0.0815309562579271,0.42011530959087573,232,0.23577235772357727,1,1,0,1,5
b★vanss,Tier 1 - Top Influencer,0.7994179605372712,0.9910347,0.5119928416927569,0.002104225160906259,0.0013398506314666401,0.08270526772667175,0.432904797797978,227,0.23069105691056913,2,0,2,1,5
chell28,Tier 1 - Top Influencer,0.7981331707159307,0.99082464,0.5090958776870436,0.0021210754259346695,0.000750564474108627,0.08487943357215352,0.41787070419680156,234,0.2378048780487805,1,0,0,1,5
anisatul,Tier 1 - Top Influencer,0.7976223091071251,0.99098575,0.5075770268304653,0.0021473077757111834,0.0017616554598913231,0.0801007647862191,0.4152821246132815,232,0.23577235772357727,1,0,0,1,5
mhrullam,Tier 1 - Top Influencer,0.7968304604804516,0.99130416,0.5051198230475187,0.0021107790636712607,0.0010731211076098553,0.08299309541406444,0.4103793623200771,232,0.23577235772357727,1,0,2,1,5
1234lvinnn,Tier 1 - Top Influencer,0.7967083799270925,0.99228656,0.5033410458336616,0.0022439541942681366,0.005181582843295371,0.06500617619734843,0.4347094032542919,221,0.22459349593495936,1,0,0,1,6
espede racing,Tier 1 - Top Influencer,0.7961783898843029,0.99316907,0.5006922515662261,0.0020628211600318383,0.0025887237509201132,0.08048884066232058,0.416018440437064,226,0.2296747967479675,1,0,2,1,6
zain,Tier 1 - Top Influencer,0.7903186685304215,0.9947649,0.4836492256473428,0.0022517168964150363,0.007625569643285445,0.05106210709259796,0.44187269379755945,206,0.209349593495935,1,0,0,1,6
p4tooookkkk,Tier 1 - Top Influencer,0.7899917215011152,0.9908434,0.4887140914553485,0.0020073902783519972,0.00301466392079994,0.07731860791186734,0.424869896616576,222,0.225609756097561,1,0,2,1,6
☝️👌👌cc,Tier 1 - Top Influencer,0.7892291445626171,0.99056154,0.4872305440637845,0.0020818418611365007,0.0012819558510946247,0.07796185547126643,0.4149149432475758,220,0.22357723577235775,1,0,0,1,5
ol²²oy,Tier 1 - Top Influencer,0.7889111029268068,0.99049723,0.48653185048718295,0.0020561245483056026,0.0016148508382337128,0.07834010895427329,0.4154659591084623,219,0.22256097560975613,1,0,0,1,5
kruxill🎃,Tier 1 - Top Influencer,0.7881563645224695,0.99257505,0.48152827760103456,0.0020557103554329622,0.0004280078406073989,0.07935501073938978,0.4150984527315419,219,0.22256097560975613,1,0,0,1,5
z4kk🇦🇱🇦🇱,Tier 1 - Top Influencer,0.787877702729613,0.99302226,0.4801607728419463,0.0021252923392418,0.0042325219793398336,0.0653676867824021,0.4297333340778463,211,0.2144308943089431,1,0,2,1,6
genzzz,Tier 1 - Top Influencer,0.7868781690360982,0.9916232,0.47976046913908893,0.001968739245911714,0.0012716174974567649,0.07656183504370903,0.4262205275322508,218,0.22154471544715448,2,0,2,1,5
